10000, 0.017426, 17426
60000, 0.106133, 106133
110000, 0.207858, 207858
160000, 0.275223, 275223
210000, 0.340252, 340252
260000, 0.425065, 425065
310000, 0.509778, 509778
360000, 0.595968, 595968
410000, 0.685960, 685960
460000, 0.764359, 764359
510000, 0.875568, 875568
560000, 0.923471, 923471
610000, 1.004473, 1004473
660000, 1.129842, 1129842
710000, 1.176680, 1176680
760000, 1.267082, 1267082
810000, 1.348385, 1348385
860000, 1.429753, 1429753
910000, 1.516507, 1516507
960000, 1.606190, 1606190
1010000, 1.692286, 1692286
1060000, 1.777344, 1777344
1110000, 1.865957, 1865957
1160000, 1.958457, 1958457
1210000, 2.046744, 2046744
1260000, 2.138484, 2138484
1310000, 2.225081, 2225081
1360000, 2.306905, 2306905
1410000, 2.400357, 2400357
1460000, 2.492915, 2492915
1510000, 2.580829, 2580829
1560000, 2.664918, 2664918
1610000, 2.752417, 2752417
1660000, 2.842615, 2842615
1710000, 2.933216, 2933216
1760000, 3.014634, 3014634
1810000, 3.106122, 3106122
1860000, 3.189701, 3189701
1910000, 3.278425, 3278425
1960000, 3.366150, 3366150
2010000, 3.453922, 3453922
2060000, 3.546019, 3546019
2110000, 3.641279, 3641279
2160000, 3.739783, 3739783
2210000, 3.825615, 3825615
2260000, 3.917933, 3917933
2310000, 4.019106, 4019106
2360000, 3.991345, 3991345
2410000, 4.088423, 4088423
2460000, 4.327276, 4327276
2510000, 4.381939, 4381939
2560000, 4.465896, 4465896
2610000, 4.569969, 4569969
2660000, 4.656302, 4656302
2710000, 4.760054, 4760054
2760000, 4.842160, 4842160
2810000, 4.935989, 4935989
2860000, 5.063647, 5063647
2910000, 5.111017, 5111017
2960000, 5.232069, 5232069
3010000, 5.298829, 5298829
3060000, 5.384721, 5384721
3110000, 5.489178, 5489178
3160000, 5.590231, 5590231
3210000, 5.676441, 5676441
3260000, 5.772065, 5772065
3310000, 5.856299, 5856299
3360000, 5.959958, 5959958
3410000, 6.036886, 6036886
3460000, 6.137897, 6137897
3510000, 6.235127, 6235127
3560000, 6.317043, 6317043
3610000, 6.399188, 6399188
3660000, 6.516939, 6516939
3710000, 6.615766, 6615766
3760000, 6.720186, 6720186
3810000, 6.823719, 6823719
3860000, 6.918202, 6918202
3910000, 7.017573, 7017573
3960000, 7.114093, 7114093
4010000, 7.196953, 7196953
4060000, 7.255728, 7255728
4110000, 7.350068, 7350068
4160000, 7.550840, 7550840
4210000, 7.778861, 7778861
4260000, 7.962772, 7962772
4310000, 7.913192, 7913192
4360000, 7.922301, 7922301
4410000, 8.164778, 8164778
4460000, 8.105611, 8105611
4510000, 8.194204, 8194204
4560000, 8.284546, 8284546
4610000, 8.390397, 8390397
4660000, 8.480177, 8480177
4710000, 8.637293, 8637293
4760000, 8.780559, 8780559
4810000, 9.118228, 9118228
4860000, 8.901488, 8901488
4910000, 8.996744, 8996744
4960000, 9.084322, 9084322
